code,schemeType,fundType,schemeCategory,plan,schemeMin,sip,investmentObjective,aum,risk,fundManager,schemeName,returnsInception,returnsYear1,returnsYear3,returnsYear5,returnsYear10,ISIN,expenseRatio,taxPeriod,navCode
HDAFWDT-DP,Open Ended,Hybrid,Equity,AS N WHEN,100000,Y,To generate income through arbitrage opportunities and debt & money market instruments.,68920,1.89516,Krishan Daga,HDFC Arbitrage Wholesale Normal Dividend Payout Direct Plan,6.3298,5.9462,5.8352,6.4315,2.79,INF179KA1KQ2,1.06,1095,129053
HDAFWMT-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,100000,Y,To generate income through arbitrage opportunities and debt & money market instruments.,68920,1.88224,Krishan Daga,HDFC Arbitrage Wholesale Monthly Dividend Payout Direct Plan,6.4628,5.9962,5.8492,6.4406,4.44,INF179KA1KS8,0.36,1095,129054
HDAFWGT-GR,Open Ended,Hybrid,Equity,GROWTH,100000,Y,To generate income through arbitrage opportunities and debt & money market instruments.,68920,0.989611,Krishan Daga,HDFC Arbitrage Wholesale Growth Direct Plan,6.8724,6.7543,6.3353,6.7329,9.09,INF179KA1KT6,0.35,365,129052
HD29T-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND FORTNIGHTLY,5000,Y,To generate income / capital appreciation through investments in Debt and Money Market Instruments. There is no assurance that the investment objective of the Scheme will be realized.,14160,2.8659,Shobhit Mehrotra,HDFC Medium Term Debt Fortnightly Dividend Payout Direct Plan,5.6698,7.2688,5.6984,5.7457,6.34,INF179KA1NP8,0.35,365,119080
HDIFNT-DP,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate income / capital appreciation through investments in debt and money market instruments. There is no assurance that the investment objective of the Scheme will be realized.,5940,3.26615,Shobhit Mehrotra,HDFC Income Normal Dividend Payout Direct Plan,7.5482,10.6,6.7517,7.2988,5.83,INF179KA1Q12,0.35,365,133365
HDIFNT-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,5000,Y,To generate income / capital appreciation through investments in debt and money market instruments. There is no assurance that the investment objective of the Scheme will be realized.,5940,3.26615,Shobhit Mehrotra,HDFC Income Normal Dividend Reinvest Direct Plan,7.5482,10.6,6.7517,7.2988,0.83,INF179KA1Q12,0.49,1095,133365
HCAPG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,5000,Y,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,57770,0.198337,Kapil Punjabi,HSBC Cash Growth Direct Plan,0,6.3833,6.9104,7.2635,5.57,INF336L01CC8,1.74,1095,120038
HSHCPWD-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,57770,0.880512,Kapil Punjabi,HSBC Cash Weekly Dividend Payout Direct Plan,0,4.5872,5.0347,5.25,2.34,INF336L01CD6,1.74,1095,120040
HSHCPWD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,To provide reasonable returns; commensurate with low risk while providing a high level of liquidity; through a portfolio of money market and debt securities.,57770,0.880512,Kapil Punjabi,HSBC Cash Weekly Dividend Reinvest Direct Plan,0,4.5872,5.0347,5.25,10.57,INF336L01CD6,0.12,1095,120040
HDFD-DP,Open Ended,Hybrid,Equity,AS N WHEN,5000,N,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,410,12.4384,Sanjay Shah; Neelotpal Sahai,HSBC Dynamic Asset Allocation Dividend Payout Direct Plan,0,0,0,0,6.7,INF336L01CF1,0.12,1095,999999
HDFD-DR,Open Ended,Hybrid,Equity,AS N WHEN,5000,N,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,410,12.4384,Sanjay Shah; Neelotpal Sahai,HSBC Dynamic Asset Allocation Dividend Reinvest Direct Plan,0,0,0,0,2.13,INF336L01CF1,0.12,1095,999999
HDFG-GR,Open Ended,Hybrid,Equity,GROWTH,5000,N,To provide long term capital appreciation by allocating funds in equity and equity related instruments. It also has the flexibility to move; entirely if required; into debt instruments in times that the view on equity markets seems negative.,410,12.451,Sanjay Shah; Neelotpal Sahai,HSBC Dynamic Asset Allocation Growth Direct Plan,0,0,0,0,5.68,INF336L01CG9,2.15,365,999999
HSHEMFD-DP,Open Ended,Others,Equity,DIVIDEND ANNUAL,5000,Y,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,92,15.0371,Priyankar Sarkar,HSBC Global Emerging Markets Dividend Payout Direct Plan,0,-0.5105,5.7375,4.8806,11.84,INF336L01CI5,2.15,365,120044
HSHEMFD-DR,Open Ended,Others,Equity,DIVIDEND ANNUAL,5000,Y,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,92,15.0371,Priyankar Sarkar,HSBC Global Emerging Markets Dividend Reinvest Direct Plan,0,-0.5105,5.7375,4.8806,5.33,INF336L01CI5,2.15,365,120044
HSHEMFG-GR,Open Ended,Others,Equity,GROWTH,5000,Y,To provide long term capital appreciation by investing in India and in the emerging markets; in equity and equity related instruments; share classes and units / securities issued by overseas mutual funds or unit trusts. The fund may also invest a limited proportion in debt and money market instruments.,92,14.9913,Priyankar Sarkar,HSBC Global Emerging Markets Growth Direct Plan,0,-0.4708,5.751,4.8889,7.41,INF336L01CJ3,1.67,1095,120043
HEFD-DP,Open Ended,Equity,Equity,AS N WHEN,5000,Y,To generate long term capital growth from an actively managed portfolio of equity and equity related securities.,6280,17.7937,Neelotpal Sahai,HSBC Large Cap Equity Dividend Payout Direct Plan,0,-9.7716,2.702,3.4521,0.94,INF336L01CL9,1.67,1095,120029
RLLQAD-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,0.155649,Anju Chhajer,Nippon India Money Market Daily Dividend Reinvest Direct Plan,5.9207,5.5392,5.3724,5.462,10.01,INF204K01ZN8,1.67,1095,118718
RLLQAW-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,0.992077,Anju Chhajer,Nippon India Money Market Weekly Dividend Reinvest Direct Plan,5.9224,5.5516,5.3574,5.4433,1.83,INF204K01ZO6,1.54,365,118717
LQAG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,0.249105,Anju Chhajer,Nippon India Money Market Growth Direct Plan,8.1576,7.7397,7.5921,7.7033,3.66,INF204K01ZP3,0.14,1095,118719
LQAM-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,2.07742,Anju Chhajer,Nippon India Money Market Monthly Dividend Payout Direct Plan,5.9268,6.1789,5.6631,5.5558,6.51,INF204K01ZQ1,0.14,1095,118720
LQAM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,2.07742,Anju Chhajer,Nippon India Money Market Monthly Dividend Reinvest Direct Plan,5.9268,6.1789,5.6631,5.5558,10.53,INF204K01ZR9,0.14,1095,118720
LQAQ-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,3.46847,Anju Chhajer,Nippon India Money Market Quarterly Dividend Payout Direct Plan,5.1727,5.4199,4.9238,5.1829,9.63,INF204K01ZS7,0.14,1095,118716
LQAQ-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,500,Y,To generate optimal returns consistent with moderate levels of risk and high liquidity. Accordingly; investments shall predominantly be made in Debt and Money Market Instruments.,58270,3.46847,Anju Chhajer,Nippon India Money Market Quarterly Dividend Reinvest Direct Plan,5.1727,5.4199,4.9238,5.1829,5.58,INF204K01ZT5,0.14,1095,118716
LDPG-GR,Open Ended,Debt,Debt - Bonds,GROWTH,500,Y,To generate optimal returns consistent with moderate levels of risk and liquidity by investing in debt securities and money market securities.,44890,0.520082,Anju Chhajer; Vivek Sharma,Nippon India Low Duration Growth Direct Plan,8.4126,7.0621,7.4259,7.91,1.7,INF204K01ZU3,0.14,1095,118709
RLPADR-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,10000,Y,To generate optimal returns consistent with moderate levels of risk and liquidity by investing in debt securities and money market securities.,44890,0.307681,Anju Chhajer; Vivek Sharma,Nippon India Low Duration Daily Dividend Reinvest Direct Plan,6.1952,5.0328,5.2183,5.6258,4.2,INF204K01ZV1,0.14,1095,118703
RLLPAWR-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,To generate optimal returns consistent with moderate levels of risk and liquidity by investing in debt securities and money market securities.,44890,1.21667,Anju Chhajer; Vivek Sharma,Nippon India Low Duration Weekly Dividend Reinvest Direct Plan,6.1622,5.2133,5.1996,5.6125,5.61,INF204K01ZW9,0.34,1095,999999
BS301RZ-DR,Open Ended,Debt,Debt - Bonds,AS N WHEN,1000,N,The objective of the scheme is to generate consistent income through superior yields on its investments at relatively moderate levels of risk through diversified research based investment approach.,12550,6.20738,Pranay Sinha,Aditya Birla Sun Life Income Dividend Reinvest Direct Plan,6.9157,10.1269,6.5643,6.9601,4.51,INF209KA1WM0,0.34,1095,133446
BS250Y-GR,Open Ended,Equity,Equity,GROWTH,1000,Y,To generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in Manufacturing activity.,4890,14.5938,Anil Shah,Aditya Birla Sun Life Manufacturing Equity Growth Direct Plan,3.0357,-13.7327,-1.252,2.5708,6.95,INF209KA1YK0,0.34,1095,133516
BS250X-DP,Open Ended,Equity,Equity,AS N WHEN,1000,Y,To generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in Manufacturing activity.,4890,16.0802,Anil Shah,Aditya Birla Sun Life Manufacturing Equity Dividend Payout Direct Plan,2.9191,-14.3713,-1.5226,2.4524,5.38,INF209KA1YL8,0.44,1095,133514
BS250X-DR,Open Ended,Equity,Equity,AS N WHEN,1000,Y,To generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in Manufacturing activity.,4890,16.0802,Anil Shah,Aditya Birla Sun Life Manufacturing Equity Dividend Reinvest Direct Plan,2.9191,-14.3713,-1.5226,2.4524,6.53,INF209KA1YL8,1.74,365,133514
BS250Z-DR,Open Ended,Equity,Equity,AS N WHEN,1000,N,To generate long-term capital appreciation to unit holders from a portfolio that is invested predominantly in equity and equity related securities of companies engaged in Manufacturing activity.,4890,16.0802,Anil Shah,Aditya Birla Sun Life Manufacturing Equity Dividend Reinvest Direct Plan,2.9191,-14.3713,-1.5226,2.4524,8.91,INF209KA1YM6,1.74,365,133514
PRARD4-DP,Open Ended,Hybrid,Equity,DIVIDEND QUARTERLY,5000,Y,To generate income by investing in arbitrage opportunities that potentially exist between the cash and derivatives market as well as within the derivatives segment of the market. Investments may also be made in debt & money market instruments.,1310,2.94686,Kumaresh Ramakrishnan; Utkarsh Katkoria; Hitash Dang,PGIM India Arbitrage Quarterly Dividend Payout Direct Plan,6.7209,5.8843,6.0074,6.5147,0.65,INF223J010N3,1.74,365,138879
PRARD3-DP,Open Ended,Hybrid,Equity,DIVIDEND MONTHLY,5000,Y,To generate income by investing in arbitrage opportunities that potentially exist between the cash and derivatives market as well as within the derivatives segment of the market. Investments may also be made in debt & money market instruments.,1310,1.99876,Kumaresh Ramakrishnan; Utkarsh Katkoria; Hitash Dang,PGIM India Arbitrage Monthly Dividend Payout Direct Plan,6.6239,5.8803,5.9927,6.3894,5.87,INF223J011N1,1.74,365,138878
PRARD5-DP,Open Ended,Hybrid,Equity,DIVIDEND ANNUAL,5000,Y,To generate income by investing in arbitrage opportunities that potentially exist between the cash and derivatives market as well as within the derivatives segment of the market. Investments may also be made in debt & money market instruments.,1310,1.0662,Kumaresh Ramakrishnan; Utkarsh Katkoria; Hitash Dang,PGIM India Arbitrage Annual Dividend Payout Direct Plan,6.8138,6.6549,6.1322,6.5972,11.49,INF223J012N9,0.32,365,138880
PRARD1-GR,Open Ended,Hybrid,Equity,GROWTH,5000,Y,To generate income by investing in arbitrage opportunities that potentially exist between the cash and derivatives market as well as within the derivatives segment of the market. Investments may also be made in debt & money market instruments.,1310,1.06822,Kumaresh Ramakrishnan; Utkarsh Katkoria; Hitash Dang,PGIM India Arbitrage Growth Direct Plan,7.012,6.6619,6.4952,6.8161,10.12,INF223J013N7,0.32,365,138875
PRARD2-DR,Open Ended,Hybrid,Equity,AS N WHEN,5000,Y,To generate income by investing in arbitrage opportunities that potentially exist between the cash and derivatives market as well as within the derivatives segment of the market. Investments may also be made in debt & money market instruments.,1310,2.88847,Kumaresh Ramakrishnan; Utkarsh Katkoria; Hitash Dang,PGIM India Arbitrage Regular Dividend Reinvest Direct Plan,6.4842,4.5136,5.5473,6.2323,0.91,INF223J014N5,0.32,365,138877
8080-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,To generate income through investing predominantly in AA+ and above rated corporate bonds while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,132430,1.7117,Rahul Goswami; Anuj Tagra; Chandni Gupta,ICICI Prudential Corporate Bond Weekly Dividend Payout Direct Plan,6.5517,6.8518,5.6885,6.0853,11.78,INF109K011C0,0.32,365,120693
8080-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,5000,Y,To generate income through investing predominantly in AA+ and above rated corporate bonds while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,132430,1.7117,Rahul Goswami; Anuj Tagra; Chandni Gupta,ICICI Prudential Corporate Bond Weekly Dividend Reinvest Direct Plan,6.5517,6.8518,5.6885,6.0853,6.13,INF109K011C0,0.32,365,120693
8140-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,8380,7.99668,Manish Banthia,ICICI Prudential Long Term Bond Quarterly Dividend Payout Direct Plan,6.2296,12.49,7.8137,5.9674,4.41,INF109K011M9,0.25,1095,120747
8140-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate income through investments in a range of debt and money market instruments while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,8380,7.99668,Manish Banthia,ICICI Prudential Long Term Bond Quarterly Dividend Reinvest Direct Plan,6.2296,12.49,7.8137,5.9674,8.92,INF109K011M9,0.25,1095,120747
8182-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,The primary objective of the Scheme is to seek to generate capital appreciation by actively investing in diversified mid cap stocks. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,18320,15.4231,Mrinal Singh; Mittul Kalawadia,ICICI Prudential Midcap Growth Direct Plan,13.0238,-18.1649,-1.0399,2.3202,0.56,INF109K011N7,1.19,1095,120381
8002-GR,Open Ended,Equity,Equity,GROWTH,5000,Y,To generate long-term capital appreciation from a portfolio that is invested predominantly in equity and equity related securities of large-cap and mid-cap companies. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,31350,14.141,Sankaran Naren; Prakash Gaurav Goel,ICICI Prudential Large & Mid Cap Growth Direct Plan,8.9946,-14.9517,-0.907,2.5425,10.31,INF109K011O5,1.19,1095,120596
8132-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate regular income through investments in a basket of debt and money market instruments consisting predominantly of securities issued by entities such as Banks and Public Sector Undertakings (PSU) with a view to providing reasonable returns; while maintaining an optimum balance of safety; liquidity and yield.,89550,4.37436,Rahul Goswami; Chandni Gupta,ICICI Prudential Banking & PSU Debt Quarterly Dividend Payout Direct Plan,7.7459,7.2314,6.8099,7.2374,1.59,INF109K012A2,1.41,365,120258
8132-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate regular income through investments in a basket of debt and money market instruments consisting predominantly of securities issued by entities such as Banks and Public Sector Undertakings (PSU) with a view to providing reasonable returns; while maintaining an optimum balance of safety; liquidity and yield.,89550,4.37436,Rahul Goswami; Chandni Gupta,ICICI Prudential Banking & PSU Debt Quarterly Dividend Reinvest Direct Plan,7.7459,7.2314,6.8099,7.2374,5.08,INF109K012A2,1.4,365,120258
8180-GR,Open Ended,Hybrid,Equity,GROWTH,500,Y,To seek to provide capital appreciation and income distribution to the investors by using equity derivatives strategies; arbitrage opportunities and pure equity investments.,280920,8.36784,Sankaran Naren; Rajat Chandak; Manish Banthia; Ihab Dalwai; Dharmesh Kakkad,ICICI Prudential Balanced Advantage Growth Direct Plan,10.5855,-4.9428,4.7976,6.4314,5.48,INF109K012B0,0.37,1095,120377
8083-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,To generate income through investing predominantly in AA+ and above rated corporate bonds while maintaining the optimum balance of yield; safety and liquidity. However; there can be no assurance or guarantee that the investment objective of the Scheme would be achieved.,132430,2.36274,Rahul Goswami; Anuj Tagra; Chandni Gupta,ICICI Prudential Corporate Bond Quarterly Dividend Payout Direct Plan,8.2893,9.8955,8.052,8.1191,9.96,INF109K012C8,0.37,1095,120694
UTBFD8-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,10000,Y,It aims to generate attractive returns consistent with capital preservation and liquidity by investing in a portfolio of quality debt securities; money market instruments and structured obligations.,21400,1.39002,Sudhir Agrawal,UTI Treasury Advantage Weekly Dividend Reinvest Direct Plan,4.6976,-4.785,1.667,3.566,4.63,INF789F01XO1,1.07,365,120739
UTCPD1-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,10000,N,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,311480,0.0298108,Amandeep S Chopra; Amit Sharma,UTI Liquid Cash Daily Dividend Reinvest Direct Plan,5.6583,4.4761,4.8175,5.111,6.99,INF789F01XP8,0.25,1095,120558
UTCPD2-GR,Open Ended,Debt,Debt - Bonds,GROWTH,500,N,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,311480,0.0824004,Amandeep S Chopra; Amit Sharma,UTI Liquid Cash Growth Direct Plan,7.8209,6.3075,6.8748,7.2488,4.64,INF789F01XQ6,0.28,1095,120304
UTCPD3-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,10000,N,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,311480,1.89071,Amandeep S Chopra; Amit Sharma,UTI Liquid Cash Monthly Dividend Payout Direct Plan,5.5599,4.4749,4.6165,4.9776,10.03,INF789F01XR4,0.16,1095,120794
UTCPD3-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,10000,N,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,311480,1.89071,Amandeep S Chopra; Amit Sharma,UTI Liquid Cash Monthly Dividend Reinvest Direct Plan,5.5599,4.4749,4.6165,4.9776,11.94,INF789F01XS2,0.16,1095,120794
UTCPD4-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,10000,N,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,311480,0.829093,Amandeep S Chopra; Amit Sharma,UTI Liquid Cash Weekly Dividend Reinvest Direct Plan,5.5224,4.5533,4.7914,5.1083,3.74,INF789F01XT0,0.16,1095,120777
UTMMD1-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND DAILY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.0956048,Amandeep S Chopra; Amit Sharma,UTI Money Market Daily Dividend Reinvest Direct Plan,6.0665,5.3537,5.282,5.4217,8.5,INF789F01XU8,0.16,1095,120772
UTMMD3-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.919438,Amandeep S Chopra; Amit Sharma,UTI Money Market Weekly Dividend Payout Direct Plan,5.8528,5.3726,5.2345,5.403,0.4,INF789F01XW4,0.16,1095,120793
UTMMD3-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND WEEKLY,10000,Y,An open ended pure debt liquid plan; seeking to provide highest possible current income; by investing in a diversified portfolio of short-term money market securities.,82370,0.919438,Amandeep S Chopra; Amit Sharma,UTI Money Market Weekly Dividend Reinvest Direct Plan,5.8528,5.3726,5.2345,5.403,5.47,INF789F01XX2,0.17,1095,120793
UTSTD1-GR,Open Ended,Debt,Debt - Bonds,GROWTH,10000,Y,To generate steady and reasonable income; with low risk and high level of liquidity from a portfolio of money market securities and high quality debt.,19770,1.49744,Sudhir Agrawal,UTI Short Term Income Growth Direct Plan,6.963,-3.3036,3.2638,5.6151,8.16,INF789F01XY0,0.17,1095,120718
IDD259-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,4.36368,Suyash Choudhary,IDFC Bond Medium Term Quarterly Dividend Payout Direct Plan,6.1714,5.3213,5.2242,5.6462,0.78,INF194K01S92,0.17,1095,118403
IDD259P-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND QUARTERLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,4.36368,Suyash Choudhary,IDFC Bond Medium Term Quarterly Dividend Reinvest Direct Plan,6.1714,5.3213,5.2242,5.6462,5.76,INF194K01S92,0.42,1095,118403
IDDMTM-DR,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,N,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,4.38613,Suyash Choudhary,IDFC Bond Medium Term Monthly Dividend Reinvest Direct Plan,5.5478,2.1437,4.0677,4.9401,1.83,INF194K01T18,0.76,1095,118402
IDDMTM-DP,Open Ended,Debt,Debt - Bonds,DIVIDEND MONTHLY,5000,Y,The scheme seeks to invest in a diversified set of debt and money market securities with the aim of generating optimal returns over medium term such that the Macaulay duration of the portfolio is between 3 years and 4 years.,30650,4.38613,Suyash Choudhary,IDFC Bond Medium Term Monthly Dividend Payout Direct Plan,5.5478,2.1437,4.0677,4.9401,0.83,INF194K01T26,0.76,1095,118402
